label,review
인사이드아웃2,"9년 만에 돌아온 <인사이듯 아웃> 속편. 전편 마지막에서 예고한 대로 열세 살 라일리의 본격 사춘기가 시작되었다. 새롭게 합류한 감정 캐릭터들은 속편의 무게를 너끈히 떠받친다. 사춘기를 통과한 이들이라면 ‘불안이’ 캐릭터에 감정이입할 수밖에 없다. 전편의 인기에 연연하지 않고, 기존 캐릭터들의 성장과 세상 모든 어린이들을 응원하는 메시지에 힘을 실어 전편을 뛰어넘는다."
인사이드아웃2,뒤척이며 잠 못 드는 사이에도 내게 부단히 희망을 주고 있던 사랑의 존재들
인사이드아웃2,소용돌이를 헤치며 꿋꿋이 흐뭇하게
인사이드아웃2,"9년, 인물과 영화와 관객이 함께 자라고 변하는 경험"
인사이드아웃2,'소심'한 '행복'이 가득했던 나의 20대를 지나 '불안'한 '행복'을 경험하고 있는 나의 30대의 건강한 '신념'을 위하여
인사이드아웃2,디즈니는 내게 재미를 주고 픽사는 내게 감동을 준다.가끔은 빙봉이 그립다
인사이드아웃2,내 감정들과 내 자신을 돌아볼 수 있었던 시간
인사이드아웃2,<엘리멘탈>로 사랑의 감동을 주더니 1년만에 우리 모두가 가지고 있는 사춘기 시절로 우리를 데려다주며 감정의 폭죽을 터트려버렸다... 그저 갓픽사
인사이드아웃2,제발 라일리가 할머니가 될때까지 시리즈로 내어주세요... 제가 할머니가 되어서 극장으로 보러갈게요. 기억할머니가 주인공이 되는 그날까지....
인사이드아웃2,"불안 때문에 숨도 안 쉬어지는게 무슨 벌 받고 있는 거라 생각했는데, 영화 보고 그 불안마저도 내 행복을 진심으로 원했단 것을 알고 눈물이 쏟아졌습니다. 불안과 화해하게 해 준 영화."
인사이드아웃2,"지금까지 불안이를 미워하고 치우고 싶었지만, 나를 위해 열심히 해준 불안이를 이제는 용서하고 고마움을 표현하려 합니다"
인사이드아웃2,불안도 기쁨도 슬픔도 다 나를 지키기 위해 최선을 다한다. 내가 이렇게 소중한 사람이었구나
인사이드아웃2,한층 더 발전한 애니메이션은 나를 울려...9년만에 나온 다음편? 이거 진짜 너무 재밌다 이거 진짜 에반데 감동이 너무 심함. 진짜 미치겠음. 또 봐야됨. 2024년 여름을 최고의 기분으로 시작~ 이런 게 극장가는 이유야... 난 이런 걸 평생 사랑하겠지...
인사이드아웃2,독창성과 유머는 덜하지만 이 정도면 졌잘싸
인사이드아웃2,"전편에 비해 줄어든 기쁨·슬픔의 비중은 단순히 영화적 전략 때문은 아닐 것이다. 부모라는 울타리 안에서 몇 가지 감정만으로 살아가기에 큰 무리가 없는 시기를 지나, 인간은 관계의 확정과 함께 다양한 감정을 만나게 된다. 픽사는 이러한 감정의 생로병사를 세심하게 반영해 낸다. 사춘기에 접어든 라일리의 머릿속은 새로운 감정들과 통성명하느라 분주하고, 어수선하며, 결정적으로 불안하다. 아니나 다를까, 컨트롤타워 주인으로 승격한 건 ‘불안’이다. 불안을 빌런인 동시에 빌런이 아니다. 전작의 ‘슬픔’이 그랬듯, 영화는 부정적인 감정 역시 나의 일부임을 받아들이는 게 왜 중요한지는 뭉클하게 설득해낸다. 1편의 빙봉처럼 감정의 심연을 건드리는 신스틸러가 부재하다는 점에서, 영화를 보는 내내 머릿속에서 ‘아쉬움’이 크게 작동했음을 고백한다."
인사이드아웃2,"어른이 되고 나니 '불안이'의 마음을 너무 잘 알겠어서, 예상치 못한 장면들에서 눈물이 났다. 불안이라는 감정과 친해질 수 있는 영화가 될 듯"
인사이드아웃2,외면하지 않을 때 비로소 마주하는 것. 뻔해서 뭉클한 성장 서사
인사이드아웃2,넘 사랑스럽고 감동적임..! 새로운 감정들 너무 공감되고 이해돼서 완전 몰입해서 봄. 또 보고 싶음
인사이드아웃2,"결국 시작은 '잘 해내야한다'는 불안감.그냥 좀 못합시다, 뭐 어때요"
인사이드아웃2,앞으로도 이렇게만 만들어주길.
인사이드아웃2,사춘기의 분열을 온전히 담기엔 다소 급한 이야기
인사이드아웃2,나를 사랑하는 나의 모든 감정들
인사이드아웃2,필요하지 않은 감정은 없으니까
인사이드아웃2,결국 불안을 잠재울수있는건 나 자신과 나를 믿어주는 존재라는것..
인사이드아웃2,"기쁨은 서서히 줄어들고 불안의 영역이 무한대로 늘어나는 기분. 성장하는 모든 존재의 감정을 뒤집어 꺼내본 듯한 놀라운 상상력은 이 시리즈의 여전한 매력이다. 2편 만의 새로운 재미도 확실하다. 사춘기를 맞은 라일리의 마음속에 일어난 재개발 공사 수준의 엄청난 변화들을 목격하는 것은 공감의 황홀경이다. 내가 내 마음을 설명할 수 없던 많은 순간, 캐릭터들을 떠올리면서 울고 웃을 수 있는 영화가 있다는 든든함. <인사이드 아웃> 시리즈는 애니메이션의 얼굴을 하고 나타난 최고의 카운슬러다. 다독임을 받고 싶던 순간에 필요했던 말이, 이 시리즈에 다 있다."
인사이드아웃2,개인적으로 2편이 1편보다 더 재밌었다... 최고bb 1편보다 재밌을까 걱정했는데 이런 걱정 안 해도 될 듯! 뽀짝한 캐릭터들이 모험 다니는 것도 귀엽고 신남ㅠㅠ 감동 그 자체였다
인사이드아웃2,“어른이 된다는게 이런건가봐 기쁨이 줄어드는거“
인사이드아웃2,빙봉은 없었다. 하지만 영화가 끝났을땐 그 안에 내가 있었다.
인사이드아웃2,효능감을 가지려 안달했던 당신과 나의 라일리에게
위키드,위키드 2는 영화를 조금 깊게 파지않거나 감정선을 이해를 못한다던지 1만 보고 아 웅장하고 재밌다만 생각하고 어느정도의 스토리를 알지못하면 지루하고 막장으로 보일수 있다 하지만 배우들의 연기에 빠져 하나하나 들여다 보면 위키드에서만 볼수...
위키드,끔찍해요 진심 시간아까움 스토리개판
